Building Inspec,Engineering,62598,Building Inspec [62598] Engineering
Building Inspec,Traffic Enginee,814.37,Building Inspec [814.37] Traffic Enginee
Clerk,Traffic Enginee,970.97,Clerk [970.97] Traffic Enginee
Community Devel,Engineering,38090,Community Devel [38090] Engineering
Economic Develo,Engineering,59539,Economic Develo [59539] Engineering
Engineering,Engineering,13080,Engineering [13080] Engineering
Engineering,Traffic Enginee,3304.84,Engineering [3304.84] Traffic Enginee
Fire,Engineering,278163,Fire [278163] Engineering
Fire,Traffic Enginee,120575.71,Fire [120575.71] Traffic Enginee
Human Resources,Engineering,33767,Human Resources [33767] Engineering
Information Tec,Engineering,969,Information Tec [969] Engineering
Library,Engineering,3537,Library [3537] Engineering
Library,Information Tec,23940,Library [23940] Information Tec
Library,Traffic Enginee,3658.58,Library [3658.58] Traffic Enginee
Municipal Court,Community Devel,90000,Municipal Court [90000] Community Devel
Parks,Engineering,14111,Parks [14111] Engineering
Parks,Traffic Enginee,29230.54,Parks [29230.54] Traffic Enginee
Pced Office Of ,Engineering,16245,Pced Office Of  [16245] Engineering
Planning,Engineering,79364,Planning [79364] Engineering
Police,Engineering,611303,Police [611303] Engineering
Police,Traffic Enginee,273847.41,Police [273847.41] Traffic Enginee
Streets,Engineering,55152,Streets [55152] Engineering
Streets,Traffic Enginee,33274,Streets [33274] Traffic Enginee
Traffic Enginee,Engineering,81516.07,Traffic Enginee [81516.07] Engineering
