Building Inspec,Engineering,62598.0
Building Inspec,Traffic Enginee,814.37
Clerk,Traffic Enginee,970.97
Community Devel,Engineering,38090.0
Economic Develo,Engineering,59539.0
Engineering,Engineering,13080.0
Engineering,Traffic Enginee,3304.84
Fire,Engineering,278163.0
Fire,Traffic Enginee,120575.71
Human Resources,Engineering,33767.0
Information Tec,Engineering,969.0
Library,Engineering,3537.0
Library,Information Tec,23940.0
Library,Traffic Enginee,3658.58
Municipal Court,Community Devel,90000.0
Parks,Engineering,14111.0
Parks,Traffic Enginee,29230.54
Pced Office Of ,Engineering,16245.0
Planning,Engineering,79364.0
Police,Engineering,611303.0
Police,Traffic Enginee,273847.41
Streets,Engineering,55152.0
Streets,Traffic Enginee,33274.0
Traffic Enginee,Engineering,81516.07
